name,group,desc,url,start,end,location,email,,,,,,,
Dubai Expo,null,Not counted as alumni,null,"2020 Feb 27, 24:00 AM +08:00","2020 Feb 28, 24:00 AM +08:00",null,null,,,,,,,
Pemecut Digital Alpha Startups,null,"Pemecut Digital Alpha Startups adalah program selama 10 hari sepanjang 5 minggu yang sesuai untuk individu yang ingin membangunkan startup baru, menyelesaikan sesuatu masalah ekonomi, atau memulakan sesuatu projek.
Pemecut Digital Alpha Startups akan memberikan anda panduan untuk penjanaan idea, pengesahan (validation), pemasaran, dan prototaip. Anda juga akan mendapat pelan bisnes yang diringkaskan dalam satu muka surat, dokumen pitch deck untuk mendapatkan modal, dan sistem sokongan melebihi USD 10, 000.",https://www.1337accelerator.com/pedas/,"2020 Jun 04, 24:00 AM +08:00","2020 Jun 04, 24:00 AM +08:00",null,info@1337ventures.net,,,,,,,
SITEC Pitch@Selangor 2nd Series: A.I. Arena,null,"This year Pitch@Selangor 2nd Series will be a new pitching arena for startups in the Artificial Intelligence (A.I.) industry to showcase their business potentials. The objectives for this pitching competition are to provide a platform for local A.I. startups to pitch their products and solutions, promote adoption of local A.I. products and solutions among the business community and government sector and provide business match-making between local A.I. providers and users.

An impactful startup community will be a crucial element that contributes towards Selangor State’s Agenda of achieving the Smart State Status by 2025. A total of 12 startups has been shortlisted for Pitch@Selangor 2nd Series to pitch and showcase their business potential. Pitch@Selangor 2nd Series: A.I. Arena has the honour to invite various stakeholders including influential Venture Capitalists Tech. Incubators, government agencies, and A.I. Experts as part of the judging panel. Let the Best Idea Win!",https://www.eventbrite.com/e/virtual-event-pitchselangor-2nd-series-ai-arena-tickets-109268653484#,"2020 Jun 30, 24:00 AM +08:00","2020 Jun 30, 24:00 AM +08:00",null,info@sitec.com.my,,,,,,,
YCL Regional Summit,ACE Go-To Market Initiatives,null,null,"2019 Apr 03, 24:00 AM +08:00",-,null,null,,,,,,,
APEC SME 020 Forum,ACE Go-To Market Initiatives,null,null,"2019 Jun 26, 24:00 AM +08:00",-,null,null,,,,,,,
KITA NextRise 2019,ACE Go-To Market Initiatives,null,null,"2019 Jul 23, 24:00 AM +08:00",-,null,null,,,,,,,
[Impact Hub Phnom Penh Startup Dialogue] - [Entrepreneurship Platform for Engagement and Exchange Workshop],ACE Go-To Market Initiatives,null,null,"2019 Sep 23, 24:00 AM +08:00",-,null,null,,,,,,,
ASEAN-ROK Summit 2019,ACE Go-To Market Initiatives,null,null,"2019 Nov 25, 24:00 AM +08:00",-,null,null,,,,,,,
Amplify Accelerator Cohort 1,Amplify Accelerator,null,null,"2018 Aug 07, 24:00 AM +08:00","2018 Aug 07, 24:00 AM +08:00",null,null,,,,,,,
Amplify Award Batch 1,Amplify Award,null,null,"2015 Dec 15, 08:00 AM +08:00",-,null,null,,,,,,,
Amplify Award Batch 2,Amplify Award,null,null,"2016 Dec 08, 08:00 AM +08:00",-,null,null,,,,,,,
Bootcamp - SE,Bootcamp,null,null,"2019 Jul 28, 24:00 AM +08:00","2019 Aug 09, 24:00 AM +08:00","Block 3730, Persiaran APEC, 63000 Cyberjaya",null,,,,,,,
Bootcamp - Healthcare,Bootcamp,null,null,"2019 Sep 03, 24:00 AM +08:00","2019 Sep 15, 24:00 AM +08:00","Block 3730, Persiaran APEC, 63000 Cyberjaya",null,,,,,,,
Bootcamp - Agritech & Foodtech,Bootcamp,null,null,"2019 Nov 04, 24:00 AM +08:00","2019 Nov 14, 24:00 AM +08:00","  Dpulze Shopping Centre, Persiaran Multimedia, Cyberjaya, 63000",null,,,,,,,
SEtia 2020,Bootcamp,null,null,"2020 Mar 23, 24:00 AM +08:00","2020 Apr 11, 24:00 AM +08:00","3730 Persiaran Apec, Cyberjaya, Selangor 63000",rossuriana@mymagic.my,,,,,,,
Social Innovation Bootcamp,Bootcamp,null,null,"2020 May 11, 24:00 AM +08:00","2020 May 21, 24:00 AM +08:00",null,null,,,,,,,
Innovation & Entrepreneurship Bootcamp,Bootcamp,null,null,"2020 May 11, 24:00 AM +08:00","2020 May 21, 24:00 AM +08:00",null,null,,,,,,,
Distro Camp,Distro Camp,null,null,"2017 May 08, 24:00 AM +08:00","2017 May 19, 24:00 AM +08:00","730, Persiaran Apec, Cyberjaya, 63000 Cyberjaya, Selangor",null,,,,,,,
Distro Dojo Batch 1,Distro Dojo,null,null,"2014 Aug 01, 08:00 AM +08:00","2014 Sep 10, 08:00 AM +08:00",null,null,,,,,,,
Distro Dojo Batch 2,Distro Dojo,null,null,"2015 Jul 27, 08:00 AM +08:00","2015 Oct 02, 08:00 AM +08:00",null,null,,,,,,,
Distro Dojo Batch 3,Distro Dojo,null,null,"2016 Mar 01, 08:00 AM +08:00","2016 May 06, 08:00 AM +08:00",null,null,,,,,,,
Distro Dojo Batch 4,Distro Dojo,null,null,"2016 May 01, 08:00 AM +08:00","2016 Jun 30, 08:00 AM +08:00",null,null,,,,,,,
Distro Dojo Batch 5,Distro Dojo,null,null,"2016 Oct 01, 08:00 AM +08:00","2016 Nov 10, 08:00 AM +08:00",null,null,,,,,,,
E@Stanford - Batch 1,E@Stanford,null,null,"2014 Nov 09, 24:00 AM +08:00","2014 Nov 16, 24:00 AM +08:00",null,null,,,,,,,
E@Stanford - Batch 2,E@Stanford,null,null,"2015 Aug 08, 24:00 AM +08:00","2015 Aug 15, 24:00 AM +08:00",null,null,,,,,,,
E@Stanford - Batch 3,E@Stanford,null,null,"2016 Aug 06, 24:00 AM +08:00","2016 Aug 13, 24:00 AM +08:00",null,null,,,,,,,
E@Stanford - Batch 4,E@Stanford,null,null,"2017 Aug 12, 24:00 AM +08:00","2017 Aug 19, 24:00 AM +08:00",null,null,,,,,,,
GAP Cohort 1,Global Accelerator Program,MaGIC Global Accelerator Program Cohort 1 in year 2017,https://mymagic.my/gap/gap-cohort-01/,"2017 Jul 04, 24:00 AM +08:00","2017 Oct 04, 24:00 AM +08:00",null,gap.team@mymagic.my,,,,,,,
GAP Cohort 2,Global Accelerator Program,MaGIC Global Accelerator Program Cohort 2 in year 2018,null,"2018 Jun 01, 24:00 AM +08:00","2018 Sep 01, 24:00 AM +08:00",null,gap.team@mymagic.my,,,,,,,
GAP Cohort 3,Global Accelerator Program,MaGIC Global Accelerator Program Cohort 3 in year 2019,null,"2019 Jul 23, 24:00 AM +08:00","2019 Nov 13, 24:00 AM +08:00",null,gap.team@mymagic.my,,,,,,,
Grill Or Chill - Startup 2015-3,Grill Or Chill,null,null,"2015 Mar 01, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2015-4,Grill Or Chill,null,null,"2015 Apr 01, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2015-5,Grill Or Chill,null,null,"2015 May 01, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2015-6,Grill Or Chill,null,null,"2015 Jun 01, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2015-7,Grill Or Chill,null,null,"2015 Jul 31, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2015-8,Grill Or Chill,null,null,"2015 Aug 28, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2015-9,Grill Or Chill,null,null,"2015 Sep 18, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2015-10,Grill Or Chill,null,null,"2015 Oct 30, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2015-12,Grill Or Chill,null,null,"2015 Dec 02, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2016-1,Grill Or Chill,null,null,"2016 Jan 29, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2016-2,Grill Or Chill,null,null,"2016 Feb 26, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2016-3,Grill Or Chill,null,null,"2016 Mar 25, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2016-4,Grill Or Chill,null,null,"2016 Apr 29, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2016-5,Grill Or Chill,null,null,"2016 May 27, 24:00 AM +08:00",-,null,null,,,,,,,
